,formula_charge,formula_discharge,voltage
345,Mn(NbS2)3,LiMn2(NbS2)6,1.7160304067
352,Na3MnO3,Na6LiMn2O6,0.9366618617
1233,Li5V6O5F19,Li11V6O5F19,3.2797249717
1103,LiV2F7,Li2V2F7,2.6684367033
591,Mn3FeO8,Li3Mn3FeO8,3.4138972767
686,Fe3Cu(PO4)4,Li4Fe3Cu(PO4)4,3.6939018583
241,V6O5F19,Li5V6O5F19,4.3272369327
808,TiMn3(PO4)6,Li6TiMn3(PO4)6,4.098025345
1157,Li3MnF7,Li4MnF7,4.6105706333
876,LiV2S2(O4F3)2,LiVSO4F3,4.6765852033
276,La4FeO8,LiLa4FeO8,3.3678421592
145,Mn5Cr3O16,Li4Mn5Cr3O16,3.8935755617
903,MnFe3(PO4)4,Li4MnFe3(PO4)4,3.5833817696
609,LiTi2Mn3O10,Li3Ti2Mn3O10,3.3025959792
838,V3Ni(PO4)4,Li4V3Ni(PO4)4,2.7740797433
67,CoCu(PO4)2,Li2CoCu(PO4)2,4.3653732817
1097,Li4Cu(PO4)2,Li5Cu(PO4)2,3.3265552533
28,Ba3LaNb3O12,Ba3LiLaNb3O12,1.3228486967
365,Li3Mn3(PO4)4,Li4Mn3(PO4)4,3.8737356767
752,Cr(WO4)3,Li4Cr(WO4)3,3.7004695808
917,Li2Mo(PO4)2,Li3Mo(PO4)2,3.1696458383
720,VPO4F,Li2VPO4F,2.8132673433
967,LiMnP2O7,Li2MnP2O7,3.7419437633
730,Co3SbO8,Li3Co3SbO8,3.5730727133
1153,MnF3,LiMnF3,3.9999172933
1130,Li2VF5,Li3VF5,2.1906048008
381,MnPO4,LiMn2(PO4)2,3.73647442
222,Na3Mo(OF)3,Na3LiMo(OF)3,1.6589940167
665,Ti2O3,LiTi4O6,1.2077308467
659,VO2,LiV4O8,2.9446518667
69,Co3Cu3(TeO8)2,Li4Co3Cu3(TeO8)2,4.2274550367
630,Li(NiO2)2,Li2NiO2,2.83525455
980,Mn(CoO2)4,Li3Mn(CoO2)4,3.3007559833
1175,P2WO7,LiP2WO7,2.4374007983
1202,LiCo2(PO4)2,LiCoPO4,4.2938296033
1100,LiCuPO4,Li2CuPO4,3.0010699433
821,LiV2P4(HO8)2,Li3V2P4(HO8)2,4.2390762233
1018,Li2VO3F,Li3VO3F,3.0385893508
373,MnP2O7,LiMnP2O7,4.2068677742
954,LiMn(PO3)4,Li2Mn(PO3)4,4.2968052083
606,LiMn5O8,Li3Mn5O8,2.6932105217
147,TiCr3(PO4)6,Li6TiCr3(PO4)6,3.95384122
8,AgPdF6,LiAg2Pd2F12,5.0525056567
796,Mn3Cr2Sn(PO4)6,Li4Mn3Cr2Sn(PO4)6,3.1432725783
544,Co15O28,Li4Co15O28,3.9633465542
1177,P4WO12,LiP4WO12,3.3213239333
977,LiMn3(PO4)3,LiMn2(PO4)2,3.7793830033
656,VO2,LiV4O8,2.9542953867
144,LiMn3CrO8,Li2Mn3CrO8,3.5390234667
974,MnPO4,LiMnPO4,3.7464543333
1197,CoP2O7,LiCoP2O7,4.8983970783
1231,VOF3,LiVOF3,4.3378111833
758,LiCo3NiO8,Li4Co3NiO8,3.67976904
1199,LiCoP2O7,Li2CoP2O7,4.4246094858
800,LiCo(CO3)2,Li2Co(CO3)2,4.0232340183
472,LiV(PO4)2,Li2V(PO4)2,4.1130189767
293,Li3Fe3NiO8,Li4Fe3NiO8,3.5683084067
582,V2OF5,LiV2OF5,3.4425170133
1169,Cr(PO3)4,LiCr(PO3)4,5.1799417483
783,Cr3Co5O16,Li4Cr3Co5O16,3.8708393658
400,Mn3VO8,Li2Mn3VO8,3.5455064892
167,Yb2Cu(GeO3)4,LiYb2Cu(GeO3)4,4.0358903367
1131,Li2VF6,Li3VF6,3.8033203233
1240,Li7VO5F,Li8VO5F,1.0045288083
1210,Mn3OF6,Li2Mn3OF6,3.6346490308
1145,VF5,LiVF5,4.7172793833
1165,Li(FeO2)2,Li5(FeO2)4,2.770255365
524,VF4,LiVF4,4.3148518117
802,Mn2CrNi3(PO4)6,Li4Mn2CrNi3(PO4)6,4.1254750458
573,LiMn2F7,Li2Mn2F7,4.3096626367
1266,Li9Co15O28,Li13Co15O28,3.1377439833
550,CoO2,Li(CoO2)2,4.0005551867
249,VOF3,LiVOF3,4.4614474642
1247,LiFeP2O7,Li2FeP2O7,3.0628322783
551,Li5CoO4,Li6CoO4,2.1441206842
692,LiCu(HO)4,Li2Cu(HO)4,2.9016335933
678,MnO2,LiMn3O6,3.5814169567
1116,Li3V2F9,Li4V2F9,2.5865506683
261,VOF3,LiV4(OF3)4,4.3543425867
1282,LiV2(PO4)2,LiVPO4,2.3685612533
493,LiV8O20,LiV2O5,3.5228730633
399,LiMn3V2O10,Li5Mn3V2O10,2.8494531967
269,LiVFeP2(HO5)2,Li2VFeP2(HO5)2,3.5063308417
77,LiCrCo3O8,Li2CrCo3O8,3.7044075067
741,V(CO3)2,Li2V(CO3)2,2.9093660558
588,LiV2(OF3)2,LiVOF3,4.2072740667
428,TaMoS4,LiTaMoS4,2.1903623067
24,K3Nb3(BO6)2,K3LiNb3(BO6)2,1.4893430967
912,Li15Cr2O12,Li17Cr2O12,2.2490273183
7,AgPbF6,LiAgPbF6,4.9600908167
907,Mn11Fe(PO4)12,Li12Mn11Fe(PO4)12,3.793832465
214,KRbMnF6,KRbLiMnF6,3.8908514567
1270,Li3V4(PO4)6,Li3V2(PO4)3,3.5036373833
616,LiMoP4O13,Li2MoP4O13,4.0423901817
1259,V5O12,Li3V5O12,3.4561938433
134,CrPHO5,LiCr2P2(HO5)2,4.5401327367
465,Yb5(ReO6)2,LiYb5(ReO6)2,3.5420628967
577,LiMnF4,Li2MnF4,4.0336373817
820,VPHO5,LiVPHO5,3.4887150083
664,Li3V5O10,LiVO2,2.2365881467
1255,V5O12,Li3V5O12,3.3736100867
890,LiMn3CrO8,Li4Mn3CrO8,3.1838040967
19,Fe2As2H2PbO10,LiFe2As2H2PbO10,3.0942195767
362,Mn2P5O16,LiMn2P5O16,4.4956598117
643,TiSe2,LiTiSe2,1.5629764767
429,Ta4MoS10,LiTa4MoS10,2.0919896767
905,MnFe(PO4)2,Li4Mn3Fe3(PO4)6,3.5681771433
422,MoPO5,LiMo2(PO5)2,3.3817270267
1019,V6O5F19,Li5V6O5F19,4.2485246613
1125,LiVF6,Li2VF6,4.6112441233
1115,LiV2F9,Li3V2F9,4.0600477383
645,VSe2,LiVSe2,1.4518114167
965,Mn6P7O24,LiMn6P7O24,3.9673356983
433,Na4Ti3O8,Na4LiTi3O8,1.0380490767
85,LiFeCoO4,Li2FeCoO4,3.2287657867
1188,Li2P8W3O29,Li6P8W3O29,3.5927087546
517,FeF3,LiFeF3,3.4614077967
348,Mn2NiO6,LiMn2NiO6,4.3207650967
809,LiMn(SO4)2,Li2Mn(SO4)2,4.4221757283
1187,P3(WO6)2,LiP3(WO6)2,2.9708819583
426,Ta4MoS8,LiTa4MoS8,2.1105227367
901,LiMnCrO4,Li2MnCrO4,2.5885870733
148,VCr(P2O7)2,LiVCr(P2O7)2,4.4146559517
184,Li3MnCu3O8,Li4MnCu3O8,3.3292177967
344,MnNbO4,LiMnNbO4,2.8316070217
948,LiMnO2,Li2MnO2,1.5588388683
699,Ti3Cu3(TeO8)2,Li4Ti3Cu3(TeO8)2,3.6525002283
1224,Li9Co13O28,Li14Co13O28,3.6306694753
1086,Ti3Mn3(SbO8)2,Li4Ti3Mn3(SbO8)2,3.1552720408
405,Mn3V(PO4)6,Li6Mn3V(PO4)6,3.9649876617
958,Mn3(P2O7)2,Li2Mn3(P2O7)2,3.9945058408
473,LiV(PO4)2,Li2V(PO4)2,3.7780681692
959,LiMn2P5O16,Li3Mn2P5O16,3.8330633758
371,MnP2O7,LiMnP2O7,4.2691292042
620,MnP2O7,LiMnP2O7,4.3473935667
951,LiMn3O6,Li8Mn9O18,3.1912945323
772,Li3Co3CuO8,Li4Co3CuO8,3.5799381333
737,LiMnPCO7,Li2MnPCO7,3.8944815933
314,FePO4,LiFePO4,3.4991381842
360,Li2Mn(PO4)2,Li3Mn(PO4)2,4.2830551567
312,FeP2O7,LiFeP2O7,4.6661353492
1156,MnF3,LiMn2F6,4.5051158633
723,MnCr(PO4)2,Li2MnCr(PO4)2,3.2194408433
985,Li2Mn2(PO4)3,Li3Mn2(PO4)3,4.3086595483
675,MnO2,LiMn2O4,3.6270496392
387,MnSbO4,LiMnSbO4,3.1762640692
722,NbCr3(PO4)6,Li6NbCr3(PO4)6,3.56281792
284,Mn4FeO8,LiMn4FeO8,3.1962840267
1123,Li3VF6,Li4VF6,2.0325840283
121,LiCo2(PO4)3,Li3Co2(PO4)3,4.3812714692
1254,LiFeP2O7,Li2FeP2O7,3.1383297258
157,Cs2W(OF2)2,Cs2LiW(OF2)2,2.7752883767
852,LiNiCSO7,Li2NiCSO7,4.4364822933
291,Nb4FeS8,LiNb4FeS8,2.2392095667
127,CoPO4,LiCo2(PO4)2,4.4305906567
1183,Ti(SiO3)2,LiTi(SiO3)2,1.6360157621
655,LiV5O12,Li3V5O12,3.3244505167
34,Fe2Si2BiO9,LiFe2Si2BiO9,3.8503043167
295,Li3FeNi3O8,Li5FeNi3O8,2.9557656442
1052,Li(TiS2)2,LiTiS2,1.6909224833
509,MnCo3O8,Li2MnCo3O8,4.0319746442
108,Li(CoO2)3,Li2(CoO2)3,3.6731026817
713,Cu2(SO4)3,LiCu2(SO4)3,4.6399796058
913,V3Ni(PO4)6,Li6V3Ni(PO4)6,3.88781411
290,NaFe(SO4)2,NaLiFe(SO4)2,2.9594826592
916,LiNiSnO4,Li2NiSnO4,3.4189789858
27,Ba3LaIn(WO6)2,Ba3LiLaIn(WO6)2,1.7929760467
412,Li2MnV(PO4)3,Li3MnV(PO4)3,3.6658335617
633,Li2(NiO2)5,Li4(NiO2)5,3.4318339017
112,Co5SbO12,Li4Co5SbO12,3.8169761567
463,Pr2Ti2S2O5,LiPr2Ti2S2O5,0.8741335067
581,Li4VS2(O2F)4,Li9V2S4(O2F)8,4.1851533167
432,Na3VS3O,Na6LiV2(S3O)2,1.3070248267
317,FePO4,LiFePO4,3.4009168667
470,LiVTe(WO6)2,Li4VTe(WO6)2,3.2028796317
354,LiMn5O8,Li3Mn5O8,2.6932105217
391,LiMn3TeO8,Li3Mn3TeO8,3.1311698892
707,VCuO4,Li5V6(CuO4)6,3.8295384943
552,LiCo3Sb(PO4)6,Li6Co3Sb(PO4)6,4.4035553887
677,LiMn3O6,Li2Mn3O6,3.1951456917
1143,LiVF6,Li2VF6,4.7939450383
1030,Cr4(PO4)3,LiCr4(PO4)3,2.2402217433
119,LiV3CoO10,Li4V3CoO10,3.5242755333
603,Li3Mn3O8,Li4Mn3O8,3.7631521267
726,Mn3V2Cr3O16,Li4Mn3V2Cr3O16,3.7318753708
505,LiMn3CoO8,Li4Mn3CoO8,3.1684745333
1278,V9(P2O7)8,Li14V9(P2O7)8,2.972140289
467,Ti(SiO3)2,LiTi2(SiO3)4,1.5190992967
1182,Ti2P2O9,LiTi2P2O9,2.6458167883
1237,Li7VO5F,Li8VO5F,1.3568533683
278,Li4Mn2Fe3Ni3O16,Li10Mn2Fe3Ni3O16,2.9855062017
636,TiS2,Li(TiS2)2,2.1047206867
242,V6O5F19,Li5V6O5F19,4.2883179287
1206,Mn2OF3,LiMn2OF3,3.0525088108
751,ZnCr3(SO4)6,LiZnCr3(SO4)6,4.7985180533
537,MnFeCo(PO4)3,Li3MnFeCo(PO4)3,3.88762617
1134,Li2VF6,Li3VF6,3.8019237733
1117,LiVF6,Li3VF6,4.2122379583
864,CoF3,LiCoF3,4.6480343833
149,TiCrO4,LiTiCrO4,3.3854468567
1250,LiFe2P5O16,Li3Fe2P5O16,3.2014398058
1273,VPO4,LiVPO4,2.1760459708
856,FeWClO4,LiFeWClO4,3.3897662183
1,AgBi2F12,LiAgBi2F12,6.1299117067
568,CuS,Li(CuS)2,1.8453782467
1105,VF3,LiVF3,2.3509888583
1271,Li2V(PO4)2,Li3V(PO4)2,3.15290748
259,VOF3,LiV4(OF3)4,4.4524549667
920,Mo2P2O9,LiMo2P2O9,3.4509101783
459,V2Sb(PO4)3,LiV4Sb2(PO4)6,2.9575496967
608,MnSO5,LiMn2(SO5)2,4.6873631067
891,MnCr3O8,Li2MnCr3O8,3.9534602008
268,Rb2VF6,Rb2LiVF6,4.0436948867
129,CoPO4,LiCoPO4,4.3335864492
311,Fe3P3O11,LiFe3P3O11,3.1233143442
1251,LiFeP2O7,Li2FeP2O7,3.1676139508
228,V2OF5,LiV2OF5,3.3931532417
611,TiMn3O8,Li2TiMn3O8,3.5473553042
423,MoWO6,LiMo2(WO6)2,3.1466357167
449,Li6VNi3(PO4)6,Li8VNi3(PO4)6,4.1886560167
86,FeCo9O20,Li2FeCo9O20,4.2474603167
853,Li4Mn2C4SO16,Li6Mn2C4SO16,3.8856430183
313,FePO4,LiFePO4,3.3219364767
858,Li4V2C4SO16,Li6V2C4SO16,2.5611574933
935,MnV(PO4)2,Li2MnV(PO4)2,3.1181121983
434,Ti3NbO8,Li2Ti3NbO8,1.8585467517
735,MnCr3(PO4)4,Li4MnCr3(PO4)4,2.9215450583
1090,LiCuPO4,Li2CuPO4,3.2802769733
168,NaCu2H2(SeO5)2,NaLiCu2H2(SeO5)2,3.8149204867
398,Li4Mn3V5O16,Li10Mn3V5O16,1.77942767
595,FePO4,LiFePO4,3.4048479667
1080,MnNi(PO4)2,Li4Mn3Ni3(PO4)6,4.1293321283
1244,Li3MnV(PO4)3,Li4MnV(PO4)3,3.3110507183
811,LiMnVP2(HO5)2,Li3MnVP2(HO5)2,3.3242731983
393,Ti3Mn5O16,Li4Ti3Mn5O16,3.5562360042
1229,V2P3O10,LiV2P3O10,2.6474184733
842,LiVAsCO7,Li2VAsCO7,3.2921253933
91,MnFeCo(PO4)3,Li3MnFeCo(PO4)3,3.8803771558
138,Ti3Mn3Cr2O16,Li4Ti3Mn3Cr2O16,3.7414143867
829,LiNb(PO4)2,Li2Nb(PO4)2,2.5899010633
1269,LiV(PO4)2,Li2V(PO4)2,4.2331097883
223,NbOF3,LiNbOF3,2.4873790767
448,TiNi5(PO4)6,Li4TiNi5(PO4)6,4.2778091167
304,LiFeSiO4,Li2FeSiO4,2.8645331717
430,TaMoS4,LiTaMoS4,2.1880116067
1171,LiP2WO8,Li3P2WO8,2.7494620183
989,LiTi3O6,Li2Ti3O6,1.4133599633
1128,VF5,LiVF5,4.9163289833
1146,LiVF5,Li2VF5,3.9840935058
347,LiMn2NiO6,Li2Mn2NiO6,3.7882334467
474,V2(PO4)3,Li3V2(PO4)3,3.6872203875
706,Mn3CuO8,Li4Mn3CuO8,3.3166037858
1295,Ni7(PO4)6,Li4Ni7(PO4)6,4.3764776658
795,Li4Mn3Cr3(NiO8)2,Li10Mn3Cr3(NiO8)2,2.5086906517
53,Co2TeCl2O3,LiCo4Te2(Cl2O3)2,2.9020715567
1272,Li5CoO4,Li47(CoO4)8,2.1337950248
1047,LiCo2P5O16,Li3Co2P5O16,4.5137203583
1007,V2OF6,Li2V2OF6,4.0599333158
1136,Li9V8F48,Li2VF6,4.7130864205
780,Mn2Co(PO4)3,Li2Mn2Co(PO4)3,4.0882575933
1039,LiNiO2,Li2NiO2,2.7699915283
480,LiTi2VO6,Li2Ti2VO6,1.7368685867
16,Ti6AgS12,LiTi6AgS12,2.0102895167
1013,LiV3OF11,Li4V3OF11,3.8616125367
364,Li2Mn2(PO4)3,Li3Mn2(PO4)3,4.0776253717
179,Sr4Mn2Cu3(SeO)4,Sr4LiMn2Cu3(SeO)4,1.1272085767
725,VCr2Ni3(PO4)6,Li4VCr2Ni3(PO4)6,3.4369293158
1050,VS2,LiVS2,1.8018921733
247,VOF3,LiVOF3,4.4825886867
669,MnO2,LiMnO2,3.1933678217
1265,Li19(CoO4)4,Li5CoO4,2.5255655733
566,Li(CrS2)4,Li(CrS2)2,2.5029797567
990,Li4Ti11O24,Li7Ti11O24,1.8729556667
1217,V(PO3)3,LiV(PO3)3,2.7801566633
946,MnO2,LiMnO2,3.1254619408
367,LiMnP2O7,Li2MnP2O7,3.6895855342
1144,LiVF4,Li2VF4,2.4284055133
392,Ti3Mn3(TeO8)2,Li4Ti3Mn3(TeO8)2,3.2448345092
374,LiMnP2O7,Li2MnP2O7,3.8700544142
333,KLaMoO5,K2LiLa2(MoO5)2,1.9834256867
663,LiV5O10,Li3V5O10,2.8667244167
13,Ta2AgF12,LiTa2AgF12,5.6807929667
187,LiCuO2,Li3(CuO2)2,2.8358676467
815,TiMn3O8,Li2TiMn3O8,3.6671511283
760,Co2NiO6,LiCo2NiO6,4.1424165883
992,TiO2,LiTi2O4,1.5705280483
1159,LiMnF4,Li2MnF4,3.7764182233
266,WOF4,LiW2(OF4)2,3.4072138267
203,KFe2P3(O4F3)2,K2LiFe4P6(O4F3)4,3.3755998567
382,MnPO4,LiMn2(PO4)2,3.8217205867
224,Nb3Pb2(O2F)4,LiNb3Pb2(O2F)4,4.0557931967
310,Fe(PO3)3,LiFe4(PO3)12,3.4900881067
1170,Li3Fe4(BO3)4,Li7Fe8(BO3)8,2.5442361233
170,In2CuSe4,LiIn2CuSe4,2.5288944367
622,MnPO4,LiMnPO4,3.7975755067
17,Ta4AgS8,LiTa4AgS8,2.1812811067
700,VCoO4,LiVCoO4,3.9199786733
370,MnP2O7,LiMnP2O7,4.4391493242
425,Ta(Mo2S5)2,LiTa(Mo2S5)2,2.2104574767
569,LiFeF4,Li2FeF4,3.6041534467
1113,LiVF5,Li2VF5,4.0295883083
939,LiV2O4,LiVO2,2.2985821033
1221,Li4CoO4,Li5CoO4,2.6779441596
996,V2OF5,LiV2OF5,3.5414091883
779,LiCu3(CO3)3,LiCuCO3,3.138580155
329,KNiIO6,KLiNiIO6,3.8597486067
1198,CoP2O7,LiCoP2O7,4.9518284783
175,MnCu(PO4)2,Li2MnCu(PO4)2,3.8648444742
1081,Mn3Sn(PO4)4,Li4Mn3Sn(PO4)4,3.2091327396
4,Cu2Ag(SeO5)2,LiCu2Ag(SeO5)2,4.3265783067
1180,P3(WO6)2,LiP3(WO6)2,2.9227127183
227,LiV(OF)2,Li2V(OF)2,3.7436648117
1285,V4P9O32,Li3V4P9O32,4.9624024967
1242,Fe5(P3O11)2,Li4Fe5(P3O11)2,3.2339013183
698,Li3Fe3CuO8,Li4Fe3CuO8,3.5566223733
1222,V(PO3)3,LiV(PO3)3,2.6724917733
240,Li5V6O5F19,Li11V6O5F19,3.2808664817
579,MoF6,LiMoF6,4.3934920367
670,MnO2,LiMnO2,3.1503054742
1173,P4WO12,LiP4WO12,3.5075383133
683,VPO5,LiVPO5,3.7101311167
487,TiVO4,LiTiVO4,2.4313006167
1092,Cu2P3O10,LiCu2P3O10,4.5977199933
1227,V(PO3)4,LiV(PO3)4,4.5680683733
562,LiCr2(PO4)3,Li3Cr2(PO4)3,4.3322631892
